identifier,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.1,0.272727272727273,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.272727272727273,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.272727272727273,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.2,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.272727272727273,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.540106951871658,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0053475935828877
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.3,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.737226277372263,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.4,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.737226277372263,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.5,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.1513353115727,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.448071216617211,0.1513353115727,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.1513353115727,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451,0.0029673590504451
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.6,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.215189873417722,0.00421940928270042,0.426160337552743,0.215189873417722,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.7,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.372262773722628,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.372262773722628,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.1,0.0072992700729927,0.372262773722628,0.0072992700729927,0.0072992700729927,0.372262773722628,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927,0.0072992700729927
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.2,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.586206896551724,0.0114942528735632
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.3,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.848101265822785,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042,0.00421940928270042
